País,Año,Esquizofrenia,Depresión,Ansiedad,Trastorno Bipolar,Desórdenes Alimentarios
Africa (IHME GBD),1990,0.22,4.6,3.7,0.61,0.11
Africa (IHME GBD),1991,0.22,4.6,3.7,0.61,0.11
Africa (IHME GBD),1992,0.22,4.59,3.69,0.61,0.11
Africa (IHME GBD),1993,0.22,4.59,3.69,0.61,0.11
Africa (IHME GBD),1994,0.22,4.59,3.69,0.61,0.11
Africa (IHME GBD),1995,0.22,4.59,3.69,0.61,0.11
Africa (IHME GBD),1996,0.22,4.59,3.68,0.61,0.11
Africa (IHME GBD),1997,0.22,4.61,3.67,0.61,0.11
Africa (IHME GBD),1998,0.22,4.63,3.65,0.61,0.11
Africa (IHME GBD),1999,0.22,4.64,3.63,0.61,0.11
Africa (IHME GBD),2000,0.22,4.65,3.63,0.61,0.11
Africa (IHME GBD),2001,0.22,4.64,3.62,0.61,0.11
Africa (IHME GBD),2002,0.22,4.64,3.62,0.61,0.11
Africa (IHME GBD),2003,0.22,4.63,3.61,0.61,0.11
Africa (IHME GBD),2004,0.22,4.63,3.61,0.61,0.11
Africa (IHME GBD),2005,0.22,4.62,3.61,0.61,0.11
Africa (IHME GBD),2006,0.22,4.61,3.61,0.61,0.11
Africa (IHME GBD),2007,0.22,4.58,3.63,0.61,0.11
Africa (IHME GBD),2008,0.22,4.56,3.66,0.61,0.11
Africa (IHME GBD),2009,0.22,4.53,3.68,0.61,0.11
Africa (IHME GBD),2010,0.22,4.51,3.69,0.6,0.11
Africa (IHME GBD),2011,0.22,4.49,3.69,0.6,0.12
Africa (IHME GBD),2012,0.22,4.47,3.69,0.6,0.12
Africa (IHME GBD),2013,0.22,4.46,3.7,0.6,0.12
Africa (IHME GBD),2014,0.22,4.45,3.7,0.6,0.12
Africa (IHME GBD),2015,0.22,4.44,3.7,0.6,0.12
Africa (IHME GBD),2016,0.22,4.45,3.7,0.6,0.12
Africa (IHME GBD),2017,0.22,4.45,3.71,0.6,0.12
Africa (IHME GBD),2018,0.22,4.46,3.7,0.6,0.12
Africa (IHME GBD),2019,0.22,4.46,3.7,0.6,0.12
America (IHME GBD),1990,0.34,3.49,4.98,0.82,0.29
America (IHME GBD),1991,0.34,3.53,4.98,0.82,0.29
America (IHME GBD),1992,0.35,3.57,4.99,0.82,0.3
America (IHME GBD),1993,0.35,3.6,5.01,0.82,0.3
America (IHME GBD),1994,0.35,3.64,5.02,0.82,0.3
America (IHME GBD),1995,0.35,3.67,5.03,0.82,0.3
America (IHME GBD),1996,0.35,3.7,5.11,0.82,0.3
America (IHME GBD),1997,0.34,3.74,5.3,0.83,0.3
America (IHME GBD),1998,0.34,3.77,5.53,0.83,0.3
America (IHME GBD),1999,0.34,3.8,5.74,0.83,0.3
America (IHME GBD),2000,0.34,3.82,5.85,0.83,0.3
America (IHME GBD),2001,0.34,3.82,5.9,0.83,0.3
America (IHME GBD),2002,0.34,3.83,5.92,0.83,0.3
America (IHME GBD),2003,0.34,3.83,5.92,0.83,0.3
America (IHME GBD),2004,0.34,3.82,5.91,0.84,0.3
America (IHME GBD),2005,0.34,3.82,5.89,0.84,0.3
America (IHME GBD),2006,0.34,3.81,5.86,0.84,0.3
America (IHME GBD),2007,0.34,3.77,5.83,0.84,0.3
America (IHME GBD),2008,0.34,3.73,5.79,0.84,0.3
America (IHME GBD),2009,0.34,3.7,5.76,0.84,0.3
America (IHME GBD),2010,0.34,3.68,5.73,0.84,0.31
America (IHME GBD),2011,0.34,3.66,5.67,0.84,0.3
